VALE3;01/07/2025;52,60;53,71;52,50;53,36;1161022353,00;21827100
VALE3;30/06/2025;52,79;53,03;52,44;52,65;1049541228,00;19900500
VALE3;27/06/2025;52,19;53,09;51,91;53,00;1368620190,00;25956100
VALE3;26/06/2025;50,84;52,30;50,84;52,00;2056712093,00;39634000
VALE3;25/06/2025;50,25;50,60;49,72;50,48;1170503178,00;23292900
VALE3;24/06/2025;50,74;50,75;50,14;50,54;935948173,00;18548100
VALE3;23/06/2025;50,02;50,55;49,83;50,55;864619155,00;17233100
VALE3;20/06/2025;51,24;51,28;49,92;49,92;1989699304,00;39651500
VALE3;18/06/2025;51,41;51,73;51,08;51,24;1052096164,00;20458700
VALE3;17/06/2025;53,63;53,89;51,38;51,41;2268294828,00;43562200
VALE3;16/06/2025;52,31;54,05;52,31;53,83;2209045157,00;41137500
VALE3;13/06/2025;52,07;52,51;51,96;52,13;690122259,00;13218200
VALE3;12/06/2025;52,90;53,04;52,47;52,83;586942679,00;11113400
VALE3;11/06/2025;53,81;53,81;52,99;53,18;725641138,00;13625300
VALE3;10/06/2025;53,30;53,87;53,11;53,65;1012683409,00;18876000
VALE3;09/06/2025;52,89;53,29;52,62;53,29;688691945,00;12983800
VALE3;06/06/2025;53,15;53,47;52,71;52,98;881242460,00;16634500
VALE3;05/06/2025;53,00;53,66;52,87;52,91;670170906,00;12580700
VALE3;04/06/2025;52,62;53,33;52,62;52,77;612271505,00;11555900
VALE3;03/06/2025;51,93;52,64;51,87;52,53;667478191,00;12783100
VALE3;02/06/2025;52,58;52,75;52,26;52,56;1012042032,00;19244600
VALE3;30/05/2025;53,35;53,39;52,05;52,10;1479628367,00;28246700
VALE3;29/05/2025;53,73;53,88;53,33;53,45;546344013,00;10208900
VALE3;28/05/2025;53,74;53,79;53,19;53,41;944241430,00;17673100
VALE3;27/05/2025;54,00;54,21;53,62;53,84;965128836,00;17932500
VALE3;26/05/2025;53,94;54,09;53,80;54,01;385818001,00;7150500
VALE3;23/05/2025;54,00;54,44;53,59;54,32;798019615,00;14737400
VALE3;22/05/2025;54,62;54,64;53,97;54,23;997428861,00;18382600
VALE3;21/05/2025;55,15;55,30;54,44;54,64;793437254,00;14466400
VALE3;20/05/2025;55,33;55,53;55,09;55,35;577867421,00;10442600
VALE3;19/05/2025;55,00;55,50;54,87;55,34;799694314,00;14463200
VALE3;16/05/2025;55,20;55,67;54,81;55,49;1000850845,00;18119700
VALE3;15/05/2025;55,00;55,65;54,84;55,45;771308629,00;13924000
VALE3;14/05/2025;55,50;55,69;54,84;54,90;894993291,00;16250200
VALE3;13/05/2025;54,49;55,43;54,13;55,17;1164824346,00;21174500
VALE3;12/05/2025;54,56;55,20;54,28;54,28;1446743485,00;26465000
VALE3;09/05/2025;53,00;53,08;52,51;52,95;818997730,00;15515500
VALE3;08/05/2025;52,90;53,30;52,67;52,74;814473304,00;15400500
VALE3;07/05/2025;53,55;53,55;52,66;52,90;594752636,00;11229500
VALE3;06/05/2025;52,99;53,58;52,92;53,00;640942848,00;12051700
VALE3;05/05/2025;52,90;53,08;52,73;52,96;642901782,00;12153300
VALE3;02/05/2025;53,26;53,56;52,55;52,80;906108260,00;17107200
VALE3;30/04/2025;52,60;53,25;52,21;52,86;991200830,00;18740900
VALE3;29/04/2025;54,21;54,34;53,84;53,84;636557671,00;11788900
VALE3;28/04/2025;53,90;54,18;53,63;54,04;646465898,00;11978900
VALE3;25/04/2025;54,50;54,62;53,64;53,85;1412172839,00;26137700
VALE3;24/04/2025;54,45;55,67;54,31;55,31;1082473877,00;19587800
VALE3;23/04/2025;54,90;55,35;54,40;54,46;1005255657,00;18334900
VALE3;22/04/2025;53,16;54,29;52,76;53,82;899337404,00;16763500
VALE3;17/04/2025;52,78;53,32;52,56;52,88;1220720425,00;23046400
VALE3;16/04/2025;53,52;53,64;52,42;52,56;1218755883,00;23069100
VALE3;15/04/2025;54,38;54,65;53,53;53,81;939820128,00;17440200
VALE3;14/04/2025;54,40;54,88;54,19;54,36;1088274804,00;19945400
VALE3;11/04/2025;52,56;54,15;52,56;53,66;1182792218,00;22090600
VALE3;10/04/2025;52,10;53,24;51,46;52,78;1988921730,00;37985800
VALE3;09/04/2025;49,15;52,06;48,77;51,85;2843633569,00;56355400
VALE3;08/04/2025;52,35;52,81;49,02;49,20;2341869365,00;46635300
VALE3;07/04/2025;51,71;53,48;51,17;52,05;1867695823,00;35900100
VALE3;04/04/2025;53,22;53,52;51,60;52,68;2405945808,00;45777500
VALE3;03/04/2025;56,00;56,44;54,76;54,87;1786825777,00;32170400
VALE3;02/04/2025;57,21;57,30;56,60;56,93;740494745,00;13024400
